age,fare,embarked,sex,pclass,body,cabin,survived
29.0,211.3375,S,female,1.0,,B5,1
0.9167,151.55,S,male,1.0,,C22 C26,1
2.0,151.55,S,female,1.0,,C22 C26,0
30.0,151.55,S,male,1.0,135.0,C22 C26,0
25.0,151.55,S,female,1.0,,C22 C26,0
48.0,26.55,S,male,1.0,,E12,1
63.0,77.9583,S,female,1.0,,D7,1
39.0,0.0,S,male,1.0,,A36,0
53.0,51.4792,S,female,1.0,,C101,1
71.0,49.5042,C,male,1.0,22.0,,0
47.0,227.525,C,male,1.0,124.0,C62 C64,0
18.0,227.525,C,female,1.0,,C62 C64,1
24.0,69.3,C,female,1.0,,B35,1
26.0,78.85,S,female,1.0,,,1
80.0,30.0,S,male,1.0,,A23,1
,25.925,S,male,1.0,,,0
24.0,247.5208,C,male,1.0,,B58 B60,0
50.0,247.5208,C,female,1.0,,B58 B60,1
32.0,76.2917,C,female,1.0,,D15,1
36.0,75.2417,C,male,1.0,,C6,0
37.0,52.5542,S,male,1.0,,D35,1
47.0,52.5542,S,female,1.0,,D35,1
26.0,30.0,C,male,1.0,,C148,1
42.0,227.525,C,female,1.0,,,1
29.0,221.7792,S,female,1.0,,C97,1
25.0,26.0,C,male,1.0,148.0,,0
25.0,91.0792,C,male,1.0,,B49,1
19.0,91.0792,C,female,1.0,,B49,1
35.0,135.6333,S,female,1.0,,C99,1
28.0,26.55,S,male,1.0,,C52,1
45.0,35.5,S,male,1.0,,T,0
40.0,31.0,C,male,1.0,,A31,1
30.0,164.8667,S,female,1.0,,C7,1
58.0,26.55,S,female,1.0,,C103,1
42.0,26.55,S,male,1.0,,D22,0
45.0,262.375,C,female,1.0,,,1
22.0,55.0,S,female,1.0,,E33,1
,26.55,S,male,1.0,,,1
41.0,30.5,S,male,1.0,,A21,0
48.0,50.4958,C,male,1.0,208.0,B10,0
,39.6,C,male,1.0,,,0
44.0,27.7208,C,female,1.0,,B4,1
59.0,51.4792,S,female,1.0,,C101,1
60.0,76.2917,C,female,1.0,,D15,1
41.0,134.5,C,female,1.0,,E40,1
45.0,26.55,S,male,1.0,,B38,0
,31.0,S,male,1.0,,,0
42.0,26.2875,S,male,1.0,,E24,1
53.0,27.4458,C,female,1.0,,,1
36.0,512.3292,C,male,1.0,,B51 B53 B55,1
58.0,512.3292,C,female,1.0,,B51 B53 B55,1
33.0,5.0,S,male,1.0,,B51 B53 B55,0
28.0,47.1,S,male,1.0,,,0
17.0,47.1,S,male,1.0,,,0
11.0,120.0,S,male,1.0,,B96 B98,1
14.0,120.0,S,female,1.0,,B96 B98,1
36.0,120.0,S,male,1.0,,B96 B98,1
36.0,120.0,S,female,1.0,,B96 B98,1
49.0,26.0,S,male,1.0,,,0
,27.7208,C,female,1.0,,,1
36.0,78.85,S,male,1.0,172.0,C46,0
76.0,78.85,S,female,1.0,,C46,1
46.0,61.175,S,male,1.0,,E31,0
47.0,61.175,S,female,1.0,,E31,1
27.0,53.1,S,male,1.0,,E8,1
33.0,53.1,S,female,1.0,,E8,1
36.0,262.375,C,female,1.0,,B61,1
30.0,86.5,S,female,1.0,,B77,1
45.0,29.7,C,male,1.0,,A9,1
,55.0,S,female,1.0,,E33,1
,0.0,S,male,1.0,,,0
27.0,136.7792,C,male,1.0,,C89,0
26.0,136.7792,C,female,1.0,,C89,1
22.0,151.55,S,female,1.0,,,1
,52.0,S,male,1.0,,A14,0
47.0,25.5875,S,male,1.0,,E58,0
39.0,83.1583,C,female,1.0,,E49,1
37.0,83.1583,C,male,1.0,,E52,0
64.0,83.1583,C,female,1.0,,E45,1
55.0,25.7,S,female,1.0,,C101,1
,26.55,S,male,1.0,,,0
70.0,71.0,S,male,1.0,269.0,B22,0
36.0,71.0,S,female,1.0,,B22,1
64.0,26.55,S,female,1.0,,B26,1
39.0,71.2833,C,male,1.0,,C85,0
38.0,71.2833,C,female,1.0,,C85,1
51.0,26.55,S,male,1.0,,E17,1
27.0,30.5,S,male,1.0,,,1
33.0,151.55,S,female,1.0,,,1
31.0,52.0,S,male,1.0,,B71,0
27.0,52.0,S,female,1.0,,B71,1
31.0,57.0,S,male,1.0,,B20,1
17.0,57.0,S,female,1.0,,B20,1
53.0,81.8583,S,male,1.0,,A34,1
4.0,81.8583,S,male,1.0,,A34,1
54.0,81.8583,S,female,1.0,,A34,1
50.0,106.425,C,male,1.0,62.0,C86,0
27.0,247.5208,C,female,1.0,,B58 B60,1
48.0,106.425,C,female,1.0,,C86,1
48.0,39.6,C,female,1.0,,A16,1
49.0,56.9292,C,male,1.0,,A20,1
39.0,29.7,C,male,1.0,133.0,A18,0
23.0,83.1583,C,female,1.0,,C54,1
38.0,227.525,C,female,1.0,,C45,1
54.0,78.2667,C,female,1.0,,D20,1
36.0,31.6792,C,female,1.0,,A29,0
,221.7792,S,male,1.0,,C95,0
,31.6833,S,female,1.0,,,1
,110.8833,C,female,1.0,,,1
36.0,26.3875,S,male,1.0,,E25,1
30.0,27.75,C,male,1.0,,C111,0
24.0,263.0,S,female,1.0,,C23 C25 C27,1
28.0,263.0,S,female,1.0,,C23 C25 C27,1
23.0,263.0,S,female,1.0,,C23 C25 C27,1
19.0,263.0,S,male,1.0,,C23 C25 C27,0
64.0,263.0,S,male,1.0,,C23 C25 C27,0
60.0,263.0,S,female,1.0,,C23 C25 C27,1
30.0,56.9292,C,female,1.0,,E36,1
,26.55,S,male,1.0,,D34,0
50.0,133.65,S,male,1.0,,,1
43.0,27.7208,C,male,1.0,,D40,1
,133.65,S,female,1.0,,,1
22.0,49.5,C,female,1.0,,B39,1
60.0,79.2,C,male,1.0,,B41,1
48.0,79.2,C,female,1.0,,B41,1
,0.0,S,male,1.0,,B102,0
37.0,53.1,S,male,1.0,,C123,0
35.0,53.1,S,female,1.0,,C123,1
47.0,38.5,S,male,1.0,275.0,E63,0
35.0,211.5,C,female,1.0,,C130,1
22.0,59.4,C,female,1.0,,,1
45.0,59.4,C,female,1.0,,,1
24.0,79.2,C,male,1.0,,B86,0
49.0,89.1042,C,male,1.0,,C92,1
,89.1042,C,female,1.0,,C92,1
71.0,34.6542,C,male,1.0,,A5,0
53.0,28.5,C,male,1.0,,C51,1
19.0,30.0,S,female,1.0,,B42,1
38.0,153.4625,S,male,1.0,147.0,C91,0
58.0,153.4625,S,female,1.0,,C125,1
23.0,63.3583,C,male,1.0,,D10 D12,1
45.0,63.3583,C,female,1.0,,D10 D12,1
46.0,79.2,C,male,1.0,,B82 B84,0
25.0,55.4417,C,male,1.0,,E50,1
25.0,55.4417,C,female,1.0,,E50,1
48.0,76.7292,C,male,1.0,,D33,1
49.0,76.7292,C,female,1.0,,D33,1
,42.4,S,male,1.0,,,0
45.0,83.475,S,male,1.0,,C83,0
35.0,83.475,S,female,1.0,,C83,1
40.0,0.0,S,male,1.0,110.0,B94,0
27.0,76.7292,C,male,1.0,,D49,1
,30.0,S,male,1.0,,D45,1
24.0,83.1583,C,female,1.0,,C54,1
55.0,93.5,S,male,1.0,307.0,B69,0
52.0,93.5,S,female,1.0,,B69,1
42.0,42.5,S,male,1.0,,B11,0
,51.8625,S,male,1.0,,E46,0
55.0,50.0,S,male,1.0,,C39,0
16.0,57.9792,C,female,1.0,,B18,1
44.0,57.9792,C,female,1.0,,B18,1
51.0,77.9583,S,female,1.0,,D11,1
42.0,52.0,S,male,1.0,38.0,,0
35.0,52.0,S,female,1.0,,,1
35.0,26.55,C,male,1.0,,,1
38.0,90.0,S,male,1.0,,C93,1
,30.6958,C,male,1.0,,,0
35.0,90.0,S,female,1.0,,C93,1
38.0,80.0,,female,1.0,,B28,1
50.0,28.7125,C,female,1.0,,C49,0
49.0,0.0,S,male,1.0,,B52 B54 B56,1
46.0,26.0,S,male,1.0,80.0,,0
50.0,26.0,S,male,1.0,,E60,0
32.5,211.5,C,male,1.0,45.0,C132,0
58.0,29.7,C,male,1.0,258.0,B37,0
41.0,51.8625,S,male,1.0,,D21,0
,51.8625,S,female,1.0,,D21,1
42.0,52.5542,S,male,1.0,,D19,1
45.0,52.5542,S,female,1.0,,D19,1
,26.55,S,male,1.0,,C124,0
39.0,211.3375,S,female,1.0,,,1
49.0,25.9292,S,female,1.0,,D17,1
30.0,106.425,C,female,1.0,,,1
35.0,512.3292,C,male,1.0,,B101,1
,27.7208,C,male,1.0,,,0
42.0,26.55,S,male,1.0,,,0
55.0,27.7208,C,female,1.0,,,1
16.0,39.4,S,female,1.0,,D28,1
51.0,39.4,S,female,1.0,,D28,1
29.0,30.0,S,male,1.0,126.0,D6,0
21.0,77.9583,S,female,1.0,,D9,1
30.0,45.5,S,male,1.0,,,0
58.0,146.5208,C,female,1.0,,B80,1
15.0,211.3375,S,female,1.0,,B5,1
30.0,26.0,S,male,1.0,,C106,0
16.0,86.5,S,female,1.0,,B79,1
,29.7,C,male,1.0,,C47,1
19.0,53.1,S,male,1.0,,D30,0
18.0,53.1,S,female,1.0,,D30,1
24.0,49.5042,C,female,1.0,,C90,1
46.0,75.2417,C,male,1.0,292.0,C6,0
54.0,51.8625,S,male,1.0,175.0,E46,0
36.0,26.2875,S,male,1.0,,E25,1
28.0,82.1708,C,male,1.0,,,0
,82.1708,C,female,1.0,,,1
65.0,26.55,S,male,1.0,249.0,E38,0
44.0,90.0,Q,male,1.0,230.0,C78,0
33.0,90.0,Q,female,1.0,,C78,1
37.0,90.0,Q,female,1.0,,C78,1
30.0,57.75,C,male,1.0,,C78,1
55.0,30.5,S,male,1.0,,C30,0
47.0,42.4,S,male,1.0,,,0
37.0,29.7,C,male,1.0,,C118,0
31.0,113.275,C,female,1.0,,D36,1
23.0,113.275,C,female,1.0,,D36,1
58.0,113.275,C,male,1.0,122.0,D48,0
19.0,26.2833,S,female,1.0,,D47,1
64.0,26.0,S,male,1.0,263.0,,0
39.0,108.9,C,female,1.0,,C105,1
,25.7417,C,male,1.0,,,1
22.0,61.9792,C,female,1.0,,B36,1
65.0,61.9792,C,male,1.0,234.0,B30,0
28.5,27.7208,C,male,1.0,189.0,D43,0
,0.0,S,male,1.0,,,0
45.5,28.5,S,male,1.0,166.0,C124,0
23.0,93.5,S,male,1.0,,B24,0
29.0,66.6,S,male,1.0,,C2,0
22.0,66.6,S,female,1.0,,C2,1
18.0,108.9,C,male,1.0,,C65,0
17.0,108.9,C,female,1.0,,C65,1
30.0,93.5,S,female,1.0,,B73,1
52.0,30.5,S,male,1.0,,C104,1
47.0,52.0,S,male,1.0,207.0,C110,0
56.0,83.1583,C,female,1.0,,C50,1
38.0,0.0,S,male,1.0,,,0
,39.6,S,male,1.0,,,1
22.0,135.6333,C,male,1.0,232.0,,0
,227.525,C,male,1.0,,,0
43.0,211.3375,S,female,1.0,,B3,1
31.0,50.4958,S,male,1.0,,A24,0
45.0,26.55,S,male,1.0,,,1
,50.0,S,male,1.0,,A32,0
33.0,27.7208,C,female,1.0,,A11,1
46.0,79.2,C,male,1.0,16.0,,0
36.0,40.125,C,male,1.0,,A10,0
33.0,86.5,S,female,1.0,,B77,1
55.0,59.4,C,male,1.0,,,0
54.0,59.4,C,female,1.0,,,1
33.0,26.55,S,male,1.0,109.0,,0
13.0,262.375,C,male,1.0,,B57 B59 B63 B66,1
18.0,262.375,C,female,1.0,,B57 B59 B63 B66,1
21.0,262.375,C,female,1.0,,B57 B59 B63 B66,1
61.0,262.375,C,male,1.0,,B57 B59 B63 B66,0
48.0,262.375,C,female,1.0,,B57 B59 B63 B66,1
,30.5,S,male,1.0,,C106,1
24.0,69.3,C,female,1.0,,B35,1
,26.0,S,male,1.0,,,1
35.0,57.75,C,female,1.0,,C28,1
30.0,31.0,C,female,1.0,,,1
34.0,26.55,S,male,1.0,,,1
40.0,153.4625,S,female,1.0,,C125,1
35.0,26.2875,S,male,1.0,,E24,1
50.0,55.9,S,male,1.0,,E44,0
39.0,55.9,S,female,1.0,,E44,1
56.0,35.5,C,male,1.0,,A26,1
28.0,35.5,S,male,1.0,,A6,1
56.0,26.55,S,male,1.0,,,0
56.0,30.6958,C,male,1.0,,A7,0
24.0,60.0,S,male,1.0,,C31,0
,26.0,S,male,1.0,,A19,0
18.0,60.0,S,female,1.0,,C31,1
24.0,82.2667,S,male,1.0,,B45,1
23.0,82.2667,S,female,1.0,,B45,1
6.0,134.5,C,male,1.0,,E34,1
45.0,134.5,C,male,1.0,,E34,1
40.0,134.5,C,female,1.0,,E34,1
57.0,146.5208,C,male,1.0,,B78,0
,146.5208,C,female,1.0,,B78,1
32.0,30.5,C,male,1.0,,B50,1
62.0,26.55,S,male,1.0,,C87,0
54.0,55.4417,C,male,1.0,,C116,1
43.0,55.4417,C,female,1.0,,C116,1
52.0,78.2667,C,female,1.0,,D20,1
,27.7208,C,male,1.0,,,0
62.0,80.0,,female,1.0,,B28,1
67.0,221.7792,S,male,1.0,96.0,C55 C57,0
63.0,221.7792,S,female,1.0,,C55 C57,0
61.0,32.3208,S,male,1.0,46.0,D50,0
48.0,25.9292,S,female,1.0,,D17,1
18.0,79.65,S,female,1.0,,E68,1
52.0,79.65,S,male,1.0,,E67,0
39.0,79.65,S,female,1.0,,E67,1
48.0,52.0,S,male,1.0,,C126,1
,52.0,S,female,1.0,,C126,1
49.0,110.8833,C,male,1.0,,C68,0
17.0,110.8833,C,male,1.0,,C70,1
39.0,110.8833,C,female,1.0,,C68,1
,79.2,C,female,1.0,,,1
31.0,28.5375,C,male,1.0,,C53,1
40.0,27.7208,C,male,1.0,,,0
61.0,33.5,S,male,1.0,245.0,B19,0
47.0,34.0208,S,male,1.0,,D46,0
35.0,512.3292,C,female,1.0,,,1
64.0,75.25,C,male,1.0,,D37,0
60.0,75.25,C,female,1.0,,D37,1
60.0,26.55,S,male,1.0,,,0
54.0,77.2875,S,male,1.0,,D26,0
21.0,77.2875,S,male,1.0,169.0,D26,0
55.0,135.6333,C,female,1.0,,C32,1
31.0,164.8667,S,female,1.0,,C7,1
57.0,164.8667,S,male,1.0,,,0
45.0,164.8667,S,female,1.0,,,1
50.0,211.5,C,male,1.0,,C80,0
27.0,211.5,C,male,1.0,,C82,0
50.0,211.5,C,female,1.0,,C80,1
21.0,26.55,S,female,1.0,,,1
51.0,61.3792,C,male,1.0,,,0
21.0,61.3792,C,male,1.0,,,1
,35.0,S,male,1.0,,C128,0
31.0,134.5,C,female,1.0,,E39 E41,1
,35.5,S,male,1.0,,C52,1
62.0,26.55,S,male,1.0,,,0
36.0,135.6333,C,female,1.0,,C32,1
30.0,24.0,C,male,2.0,,,0
28.0,24.0,C,female,2.0,,,1
30.0,13.0,S,male,2.0,,,0
18.0,11.5,S,male,2.0,,,0
25.0,10.5,S,male,2.0,,,0
34.0,26.0,S,male,2.0,,,0
36.0,26.0,S,female,2.0,,,1
57.0,13.0,S,male,2.0,,,0
18.0,11.5,S,male,2.0,,,0
23.0,10.5,S,male,2.0,,,0
36.0,13.0,S,female,2.0,,D,1
28.0,10.5,S,male,2.0,,,0
51.0,12.525,S,male,2.0,174.0,,0
32.0,26.0,S,male,2.0,,,1
19.0,26.0,S,female,2.0,,,1
28.0,26.0,S,male,2.0,,,0
1.0,39.0,S,male,2.0,,F4,1
4.0,39.0,S,female,2.0,,F4,1
12.0,39.0,S,female,2.0,,F4,1
36.0,39.0,S,female,2.0,,F4,1
34.0,13.0,S,male,2.0,,D56,1
19.0,13.0,S,female,2.0,,,1
23.0,13.0,S,male,2.0,,,0
26.0,13.0,S,male,2.0,,,0
42.0,13.0,S,male,2.0,,,0
27.0,13.0,S,male,2.0,,,0
24.0,13.0,S,female,2.0,,F33,1
15.0,39.0,S,female,2.0,,,1
60.0,39.0,S,male,2.0,,,0
40.0,39.0,S,female,2.0,,,1
20.0,26.0,S,female,2.0,,,1
25.0,26.0,S,male,2.0,,,0
36.0,13.0,S,female,2.0,,,1
25.0,13.0,S,male,2.0,97.0,,0
42.0,13.0,S,male,2.0,,,0
42.0,13.0,S,female,2.0,,,1
0.8333,29.0,S,male,2.0,,,1
26.0,29.0,S,male,2.0,,,1
22.0,29.0,S,female,2.0,,,1
35.0,21.0,S,female,2.0,,,1
,0.0,S,male,2.0,,,0
19.0,13.0,S,male,2.0,18.0,,0
44.0,26.0,S,female,2.0,,,0
54.0,26.0,S,male,2.0,,,0
52.0,13.5,S,male,2.0,130.0,,0
37.0,26.0,S,male,2.0,17.0,,0
29.0,26.0,S,female,2.0,,,0
25.0,30.0,S,female,2.0,,,1
45.0,30.0,S,female,2.0,,,1
29.0,26.0,S,male,2.0,,,0
28.0,26.0,S,female,2.0,,,1
29.0,10.5,S,male,2.0,,,0
28.0,13.0,S,male,2.0,,,0
24.0,10.5,S,male,2.0,,,1
8.0,26.25,S,female,2.0,,,1
31.0,26.25,S,male,2.0,,,0
31.0,26.25,S,female,2.0,,,1
22.0,10.5,S,female,2.0,,F33,1
30.0,13.0,S,female,2.0,,,0
,21.0,S,female,2.0,,,0
21.0,11.5,S,male,2.0,,,0
,0.0,S,male,2.0,,,0
8.0,36.75,S,male,2.0,,,1
18.0,73.5,S,male,2.0,,,0
48.0,36.75,S,female,2.0,,,1
28.0,13.0,S,female,2.0,,,1
32.0,13.0,S,male,2.0,,,0
17.0,73.5,S,male,2.0,,,0
29.0,27.7208,C,male,2.0,295.0,,0
24.0,27.7208,C,female,2.0,,,1
25.0,31.5,S,male,2.0,,,0
18.0,73.5,S,male,2.0,,,0
18.0,23.0,S,female,2.0,,,1
34.0,23.0,S,female,2.0,,,1
54.0,26.0,S,male,2.0,,,0
8.0,32.5,S,male,2.0,,,1
